date,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precipitation,precipitation_accumulation,condition
30/10/2016,12:20 am,52 F ,48 F ,88%,SW,7 mph ,0 mph ,30.3 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,12:50 am,52 F ,48 F ,88%,WSW,6 mph ,0 mph ,30.3 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,1:20 am,52 F ,48 F ,88%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,1:50 am,52 F ,48 F ,88%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,1:20 am,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,1:50 am,50 F ,48 F ,94%,SW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,2:20 am,52 F ,48 F ,88%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,2:50 am,52 F ,48 F ,88%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,3:20 am,52 F ,48 F ,88%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,3:50 am,50 F ,48 F ,94%,W,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,4:20 am,50 F ,48 F ,94%,SW,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,4:50 am,50 F ,48 F ,94%,WSW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
30/10/2016,5:20 am,48 F ,46 F ,93%,SW,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,5:50 am,50 F ,48 F ,94%,SW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,6:20 am,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
30/10/2016,6:50 am,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
30/10/2016,7:20 am,50 F ,48 F ,94%,SW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,7:50 am,50 F ,48 F ,94%,WSW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,8:20 am,50 F ,48 F ,94%,VAR,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,8:50 am,50 F ,48 F ,94%,W,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,9:20 am,52 F ,48 F ,88%,WSW,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,9:50 am,54 F ,50 F ,88%,VAR,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,10:20 am,54 F ,50 F ,88%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,10:50 am,55 F ,50 F ,82%,W,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,11:20 am,57 F ,50 F ,77%,WSW,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,11:50 am,55 F ,50 F ,82%,W,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Mostly Cloudy
30/10/2016,12:20 pm,55 F ,50 F ,82%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,12:50 pm,55 F ,50 F ,82%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,1:20 pm,57 F ,50 F ,77%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,1:50 pm,57 F ,50 F ,77%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,2:20 pm,57 F ,50 F ,77%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,2:50 pm,57 F ,50 F ,77%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,3:20 pm,57 F ,50 F ,77%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,3:50 pm,57 F ,50 F ,77%,WSW,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,4:20 pm,54 F ,50 F ,88%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,4:50 pm,52 F ,48 F ,88%,W,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,5:20 pm,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,5:50 pm,50 F ,46 F ,87%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,6:20 pm,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,6:50 pm,50 F ,48 F ,94%,WSW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,7:20 pm,52 F ,48 F ,88%,WSW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,7:50 pm,52 F ,50 F ,94%,W,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,8:20 pm,52 F ,48 F ,88%,W,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,8:50 pm,52 F ,50 F ,94%,W,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,9:20 pm,52 F ,50 F ,94%,WSW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,9:50 pm,50 F ,48 F ,94%,VAR,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,10:20 pm,52 F ,48 F ,88%,W,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,10:50 pm,50 F ,48 F ,94%,VAR,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,11:20 pm,50 F ,48 F ,94%,SW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
30/10/2016,11:50 pm,50 F ,48 F ,94%,WSW,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,12:20 am,50 F ,48 F ,94%,SW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,12:50 am,50 F ,48 F ,94%,WSW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,1:20 am,50 F ,48 F ,94%,WSW,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,1:50 am,50 F ,46 F ,87%,SW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
